id,robotId,sensorId,timestamp,temperature,humidity,controlMode,motorInterval
4,Rpi__1,Sensor__4,2024/12/11 11:00,21.2,46.6,timer,10
8,Rpi__1,Sensor__4,2024/12/11 11:05,21.2,46.6,timer,10
12,Rpi__1,Sensor__4,2024/12/11 11:15,21.1,47.2,timer,10
16,Rpi__1,Sensor__4,2024/12/11 11:20,21,47.8,timer,10
20,Rpi__1,Sensor__4,2024/12/11 11:25,20.9,48.5,timer,10
24,Rpi__1,Sensor__4,2024/12/11 11:30,20.8,49.1,timer,10
28,Rpi__1,Sensor__4,2024/12/11 11:35,20.8,49.3,timer,10
32,Rpi__1,Sensor__4,2024/12/11 11:40,20.8,49.5,timer,10
36,Rpi__1,Sensor__4,2024/12/11 11:45,20.7,49.7,timer,10
40,Rpi__1,Sensor__4,2024/12/11 11:50,20.8,49.9,timer,10
44,Rpi__1,Sensor__4,2024/12/11 11:55,20.7,50,timer,10
48,Rpi__1,Sensor__4,2024/12/11 12:00,20.7,49.9,timer,10
52,Rpi__1,Sensor__4,2024/12/11 12:05,20.6,50.1,timer,3570
56,Rpi__1,Sensor__4,2024/12/11 12:10,20.5,50.2,timer,3570
60,Rpi__1,Sensor__4,2024/12/11 12:15,20.4,50.4,timer,3570
64,Rpi__1,Sensor__4,2024/12/11 12:20,20.4,50.5,timer,3570
68,Rpi__1,Sensor__4,2024/12/11 12:25,20.3,50.6,timer,3570
72,Rpi__1,Sensor__4,2024/12/11 12:30,20.3,50.7,timer,3570
76,Rpi__1,Sensor__4,2024/12/11 12:35,20.2,50.7,timer,3570
80,Rpi__1,Sensor__4,2024/12/11 12:40,20.2,50.7,timer,3570
84,Rpi__1,Sensor__4,2024/12/11 12:45,20.2,50.8,timer,3570
88,Rpi__1,Sensor__4,2024/12/11 12:50,20.2,50.8,timer,3570
92,Rpi__1,Sensor__4,2024/12/11 12:55,20.2,50.9,timer,3570
96,Rpi__1,Sensor__4,2024/12/11 13:00,20.2,50.9,timer,3570
100,Rpi__1,Sensor__4,2024/12/11 13:05,20.2,50.9,timer,3570
104,Rpi__1,Sensor__4,2024/12/11 13:10,20.2,50.9,timer,3570
108,Rpi__1,Sensor__4,2024/12/11 13:15,20.2,51,timer,3570
112,Rpi__1,Sensor__4,2024/12/11 13:20,20.2,51,timer,3570
116,Rpi__1,Sensor__4,2024/12/11 13:25,20.2,51,timer,3570
120,Rpi__1,Sensor__4,2024/12/11 13:30,20.2,51,timer,3570
124,Rpi__1,Sensor__4,2024/12/11 13:35,20.2,51.1,timer,3570
128,Rpi__1,Sensor__4,2024/12/11 13:40,20.2,51,timer,3570
132,Rpi__1,Sensor__4,2024/12/11 13:45,20.2,50.8,timer,3570
136,Rpi__1,Sensor__4,2024/12/11 13:50,20.2,50.8,timer,3570
140,Rpi__1,Sensor__4,2024/12/11 13:55,20.1,50.8,timer,3570
144,Rpi__1,Sensor__4,2024/12/11 14:00,20.1,50.8,timer,3570
148,Rpi__1,Sensor__4,2024/12/11 14:05,20.1,50.7,timer,3570
152,Rpi__1,Sensor__4,2024/12/11 14:10,20.1,50.6,timer,3570
156,Rpi__1,Sensor__4,2024/12/11 14:15,20.1,50.5,timer,3570
160,Rpi__1,Sensor__4,2024/12/11 14:20,20,50.3,timer,3570
164,Rpi__1,Sensor__4,2024/12/11 14:25,20.1,50.2,timer,3570
168,Rpi__1,Sensor__4,2024/12/11 14:30,20,50.2,timer,3570
172,Rpi__1,Sensor__4,2024/12/11 14:35,20,50,timer,3570
176,Rpi__1,Sensor__4,2024/12/11 14:40,20,50,timer,3570
180,Rpi__1,Sensor__4,2024/12/11 14:45,20,49.8,timer,3570
184,Rpi__1,Sensor__4,2024/12/11 14:50,20,49.8,timer,3570
188,Rpi__1,Sensor__4,2024/12/11 14:55,20,49.6,timer,3570
192,Rpi__1,Sensor__4,2024/12/11 15:00,19.9,49.6,timer,3570
196,Rpi__1,Sensor__4,2024/12/11 15:05,20,49.5,timer,3570
